Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
ERR225783_1	38492971.0	27616031.0	10876940.0	71.7430488802748	312.455
ERR225784_1	5859701.0	5381906.0	477795.0	91.84608566204999	401.706
ERR299168_1	34572962.0	33656620.0	916342.0	97.34954152901334	372.608
ERR299169_1	20417716.0	19831137.0	586579.0	97.12710765494045	371.723
ERR299170_1	30810018.0	29966329.0	843689.0	97.2616406780418	371.214
ERR299171_1	22510318.0	21796743.0	713575.0	96.83000924287253	368.282
ERR299172_1	35630986.0	34613193.0	1017793.0	97.14351716228117	373.595
ERR299173_1	19629127.0	19116268.0	512859.0	97.38725517441505	373.686
ERR299174_1	34489099.0	33573286.0	915813.0	97.34463054543698	372.897
ERR299175_1	20352037.0	19769022.0	583015.0	97.13534817178251	371.94
ERR299176_1	30706521.0	29864002.0	842519.0	97.25622124368958	371.133
ERR299177_1	22453030.0	21741046.0	711984.0	96.82900704270203	368.312
ERR299178_1	35534658.0	34518515.0	1016143.0	97.14041711052911	372.947
ERR299179_1	19569118.0	19057382.0	511736.0	97.38498178609787	374.131
