target_id	length	eff_length	est_counts	tpm
SSTP_0000000100.1	285	125.321	10.4781	1.05204
SSTP_0000000200.1	653	484.288	1	0.0259819
SSTP_0000000300.1	1536	1367.16	20.1846	0.18577
SSTP_0000000400.1	480	311.941	475.5	19.1802
SSTP_0000000500.1	4635	4466.16	24230	68.2643
SSTP_0000000600.1	687	518.264	6	0.145671
SSTP_0000000700.1	300	138.607	0	0
SSTP_0000000800.1	1086	917.158	0	0
SSTP_0000000900.1	372	206.165	1	0.0610322
SSTP_0000001000.1	780	611.234	2	0.0411715
SSTP_0000001050.1	291	130.597	0	0
SSTP_0000001100.1	480	311.941	0	0
SSTP_0000001200.1	1257	1088.16	0	0
SSTP_0000001300.1	528	359.525	3	0.104994
SSTP_0000001400.1	249	94.2306	0	0
SSTP_0000001425.1	297	135.906	0	0
SSTP_0000001450.1	246	91.726	1	0.137177
SSTP_0000001475.1	435	267.474	1	0.0470427
SSTP_0000001500.1	315	152.377	1	0.0825759
SSTP_0000001600.1	1194	1025.16	32	0.392766
SSTP_0000001700.1	516	347.596	5	0.180996
SSTP_0000001750.1	270	112.106	4	0.448959
SSTP_0000001800.1	1464	1295.16	1475	14.3299
SSTP_0000001900.1	1818	1649.16	1281	9.77375
SSTP_0000002000.1	1212	1043.16	149	1.79726
SSTP_0000002100.1	1539	1370.16	276	2.53462
SSTP_0000002200.1	2877	2708.16	8153	37.8807
SSTP_0000002300.1	861	692.234	7746	140.799
SSTP_0000002400.1	1533	1364.16	232	2.13992
SSTP_0000002500.1	918	749.198	249	4.18193
SSTP_0000002600.1	783	614.234	104	2.13046
SSTP_0000002700.1	993	824.158	104	1.58781
SSTP_0000002800.1	660	491.264	70	1.79291
SSTP_0000002900.1	585	416.334	2502	75.617
SSTP_0000002950.1	450	282.296	6.67043	0.29732
SSTP_0000003000.1	1263	1094.16	658	7.56694
SSTP_0000003100.1	1281	1112.16	363	4.1069
SSTP_0000003200.1	4065	3896.16	10331	33.3641
SSTP_0000003300.1	1254	1085.16	4438	51.4599
SSTP_0000003400.1	1422	1253.16	830	8.33387
SSTP_0000003500.1	831	662.234	3044	57.8372
SSTP_0000003600.1	861	692.234	2506	45.5515
SSTP_0000003700.1	2061	1892.16	13175	87.6128
SSTP_0000003800.1	1092	923.158	862	11.7491
SSTP_0000003900.1	5655	5486.16	9960	22.8436
SSTP_0000004000.1	1152	983.158	1	0.0127983
SSTP_0000004100.1	222	72.8346	29	5.00996
SSTP_0000004200.1	393	226.396	45	2.50102
SSTP_0000004300.1	681	512.264	296	7.27063
SSTP_0000004400.1	873	704.234	187	3.34117
SSTP_0000004500.1	609	440.334	79	2.25745
SSTP_0000004600.1	1698	1529.16	0	0
SSTP_0000004650.1	279	120.075	0	0
SSTP_0000004700.1	3486	3317.16	2	0.00758644
SSTP_0000004800.1	1023	854.158	0	0
SSTP_0000004900.1	999	830.158	0	0
SSTP_0000005000.1	3180	3011.16	0	0
SSTP_0000005050.1	396	229.327	0	0
SSTP_0000005100.1	1782	1613.16	182	1.41961
SSTP_0000005200.1	294	133.206	0	0
SSTP_0000005225.1	393	226.396	0	0
SSTP_0000005250.1	255	99.2749	0	0
SSTP_0000005275.1	288	127.975	0	0
SSTP_0000005300.1	243	89.266	0	0
SSTP_0000005400.1	525	356.561	0	0
SSTP_0000005500.1	906	737.198	0	0
SSTP_0000005600.1	1515	1346.16	0	0
SSTP_0000005700.1	750	581.264	0	0
SSTP_0000005800.1	1335	1166.16	0	0
SSTP_0000005900.1	711	542.264	0	0
SSTP_0000006000.1	300	138.607	0	0
SSTP_0000006050.1	222	72.8346	0	0
SSTP_0000006100.1	300	138.607	0	0
SSTP_0000006200.1	510	341.613	0	0
SSTP_0000006300.1	609	440.334	0	0
SSTP_0000006400.1	906	737.198	0	0
SSTP_0000006425.1	231	79.7775	0	0
SSTP_0000006500.1	957	788.198	6	0.0957833
