target_id	length	eff_length	est_counts	tpm
SSTP_0000000100.1	285	125.207	4.73756	0.37427
SSTP_0000000200.1	653	485.685	0	0
SSTP_0000000300.1	1536	1368.63	4756.34	34.3753
SSTP_0000000400.1	480	313.138	683	21.5746
SSTP_0000000500.1	4635	4467.63	3609	7.9904
SSTP_0000000600.1	687	519.66	7.36784	0.140243
SSTP_0000000700.1	300	139.004	0	0
SSTP_0000000800.1	1086	918.63	57	0.613753
SSTP_0000000900.1	372	206.774	0	0
SSTP_0000001000.1	780	612.63	4	0.0645834
SSTP_0000001050.1	291	130.61	1	0.0757323
SSTP_0000001100.1	480	313.138	5	0.15794
SSTP_0000001200.1	1257	1089.63	1	0.00907779
SSTP_0000001300.1	528	360.889	2	0.0548169
SSTP_0000001400.1	249	93.5498	0	0
SSTP_0000001425.1	297	136.231	0	0
SSTP_0000001450.1	246	91.0101	0	0
SSTP_0000001475.1	435	268.546	0	0
SSTP_0000001500.1	315	152.819	0	0
SSTP_0000001600.1	1194	1026.63	50	0.481743
SSTP_0000001700.1	516	348.943	3	0.0850405
SSTP_0000001750.1	270	111.897	0	0
SSTP_0000001800.1	1464	1296.63	174	1.32737
SSTP_0000001900.1	1818	1650.63	51	0.305618
SSTP_0000002000.1	1212	1044.63	42	0.397691
SSTP_0000002100.1	1539	1371.63	39	0.281246
SSTP_0000002200.1	2877	2709.63	1135	4.14329
SSTP_0000002300.1	861	693.63	4581	65.3268
SSTP_0000002400.1	1533	1365.63	152	1.10095
SSTP_0000002500.1	918	750.63	22	0.289905
SSTP_0000002600.1	783	615.63	1	0.0160672
SSTP_0000002700.1	993	825.63	2	0.0239609
SSTP_0000002800.1	660	492.685	1	0.0200766
SSTP_0000002900.1	585	417.794	1609	38.0937
SSTP_0000002950.1	450	283.408	3	0.104705
SSTP_0000003000.1	1263	1095.63	493	4.45084
SSTP_0000003100.1	1281	1113.63	109	0.968154
SSTP_0000003200.1	4065	3897.63	1688	4.28382
SSTP_0000003300.1	1254	1086.63	626	5.69838
SSTP_0000003400.1	1422	1254.63	116	0.914537
SSTP_0000003500.1	831	663.63	4028	60.0375
SSTP_0000003600.1	861	693.63	462	6.5883
SSTP_0000003700.1	2061	1893.63	1665	8.69717
SSTP_0000003800.1	1092	924.63	232	2.48187
SSTP_0000003900.1	5655	5487.63	3417	6.15913
SSTP_0000004000.1	1152	984.63	5	0.0502292
SSTP_0000004100.1	222	71.3423	16	2.21836
SSTP_0000004200.1	393	227.152	40	1.74181
SSTP_0000004300.1	681	513.66	63	1.21318
SSTP_0000004400.1	873	705.63	17	0.238304
SSTP_0000004500.1	609	441.729	488	10.9275
SSTP_0000004600.1	1698	1530.63	2	0.0129246
SSTP_0000004650.1	279	119.762	1	0.0825921
SSTP_0000004700.1	3486	3318.63	87	0.25931
SSTP_0000004800.1	1023	855.63	0	0
SSTP_0000004900.1	999	831.63	1	0.011894
SSTP_0000005000.1	3180	3012.63	1	0.00328332
SSTP_0000005050.1	396	230.13	0	0
SSTP_0000005100.1	1782	1614.63	10	0.0612613
SSTP_0000005200.1	294	133.447	0	0
SSTP_0000005225.1	393	227.152	0	0
SSTP_0000005250.1	255	98.7165	0	0
SSTP_0000005275.1	288	127.898	1	0.0773381
SSTP_0000005300.1	243	88.5188	0	0
SSTP_0000005400.1	525	357.907	0	0
SSTP_0000005500.1	906	738.63	20	0.267832
SSTP_0000005600.1	1515	1347.63	1	0.00733987
SSTP_0000005700.1	750	582.66	2	0.0339527
SSTP_0000005800.1	1335	1167.63	0	0
SSTP_0000005900.1	711	543.66	0	0
SSTP_0000006000.1	300	139.004	0	0
SSTP_0000006050.1	222	71.3423	0	0
SSTP_0000006100.1	300	139.004	0	0
SSTP_0000006200.1	510	342.96	0	0
SSTP_0000006300.1	609	441.729	2	0.044785
SSTP_0000006400.1	906	738.63	1	0.0133916
SSTP_0000006425.1	231	78.5499	0	0
SSTP_0000006500.1	957	789.63	11	0.137793
