Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
ERR146941_1	63707299.0	59252416.0	4454883.0	93.00726436385256	167.696
ERR146942_1	62084981.0	58104722.0	3980259.0	93.58901470872641	171.143
ERR146943_1	59692468.0	55446331.0	4246137.0	92.88664526318463	168.775
ERR146944_1	68856031.0	58384591.0	10471440.0	84.79226895898196	171.05
ERR146945_1	58462081.0	53604618.0	4857463.0	91.691258817831	168.179
ERR146946_1	62275012.0	55436531.0	6838481.0	89.01890055035237	174.921
ERR146947_1	50381831.0	45214846.0	5166985.0	89.74434851325668	169.404
ERR146948_1	41205900.0	36138007.0	5067893.0	87.70105009234115	169.124
ERR146949_1	30505409.0	27088044.0	3417365.0	88.79751128726056	174.132
ERR146950_1	63693144.0	59485921.0	4207223.0	93.3945433750295	171.079
ERR146951_1	63921323.0	60398632.0	3522691.0	94.48902051041715	168.323
ERR146952_1	59450670.0	54149244.0	5301426.0	91.0826471762219	169.842
ERR146953_1	42476003.0	39486872.0	2989131.0	92.96277712382684	174.747
ERR146954_1	64774233.0	60967417.0	3806816.0	94.12294700579473	174.365
ERR146955_1	66025530.0	61884064.0	4141466.0	93.72747784076856	177.535
ERR146956_1	45051280.0	42524327.0	2526953.0	94.39094072354881	173.564
ERR146957_1	45088554.0	42790120.0	2298434.0	94.90240028544716	173.791
ERR146958_1	48613492.0	46026558.0	2586934.0	94.678567834625	177.638
ERR146959_1	11820950.0	11075372.0	745578.0	93.69274043118362	173.926
ERR146960_1	43376065.0	40972018.0	2404047.0	94.4576646129611	169.833
ERR146961_1	46141223.0	43510148.0	2631075.0	94.29777793276091	175.906
SRR13343624_1	44616003.0	42616055.0	1999948.0	95.51742006113815	170.396
SRR13343625_1	48928375.0	46669221.0	2259154.0	95.38273241242939	168.37
SRR13343626_1	45179114.0	42873435.0	2305679.0	94.89658207994074	168.984
