Module	Section	Sample Name	Source
Kallisto	all_sections	SRR13343624_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343624.log
Kallisto	all_sections	SRR13343625_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343625.log
Kallisto	all_sections	ERR146961_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146961.log
Kallisto	all_sections	ERR146949_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146949.log
Kallisto	all_sections	ERR146948_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146948.log
Kallisto	all_sections	ERR146960_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146960.log
Kallisto	all_sections	SRR13343626_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343626.log
Kallisto	all_sections	ERR146958_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146958.log
Kallisto	all_sections	ERR146959_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146959.log
Kallisto	all_sections	ERR146943_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146943.log
Kallisto	all_sections	ERR146957_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146957.log
Kallisto	all_sections	ERR146956_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146956.log
Kallisto	all_sections	ERR146942_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146942.log
Kallisto	all_sections	ERR146954_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146954.log
Kallisto	all_sections	ERR146941_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146941.log
Kallisto	all_sections	ERR146955_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146955.log
Kallisto	all_sections	ERR146951_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146951.log
Kallisto	all_sections	ERR146945_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146945.log
Kallisto	all_sections	ERR146944_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146944.log
Kallisto	all_sections	ERR146950_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146950.log
Kallisto	all_sections	ERR146946_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146946.log
Kallisto	all_sections	ERR146952_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146952.log
Kallisto	all_sections	ERR146953_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146953.log
Kallisto	all_sections	ERR146947_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146947.log
FastQC	all_sections	ERR146960_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146960_1_fastqc.zip
FastQC	all_sections	ERR146943_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146943_1_fastqc.zip
FastQC	all_sections	ERR146954_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146954_2_fastqc.zip
FastQC	all_sections	ERR146953_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146953_2_fastqc.zip
FastQC	all_sections	ERR146944_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146944_1_fastqc.zip
FastQC	all_sections	ERR146946_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146946_2_fastqc.zip
FastQC	all_sections	ERR146951_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146951_1_fastqc.zip
FastQC	all_sections	ERR146956_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146956_1_fastqc.zip
FastQC	all_sections	ERR146941_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146941_2_fastqc.zip
FastQC	all_sections	ERR146961_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146961_1_fastqc.zip
FastQC	all_sections	ERR146957_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146957_1_fastqc.zip
FastQC	all_sections	ERR146950_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146950_1_fastqc.zip
FastQC	all_sections	ERR146947_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146947_2_fastqc.zip
FastQC	all_sections	ERR146945_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146945_1_fastqc.zip
FastQC	all_sections	ERR146955_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146955_2_fastqc.zip
FastQC	all_sections	ERR146942_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146942_1_fastqc.zip
FastQC	all_sections	ERR146948_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146948_1_fastqc.zip
FastQC	all_sections	ERR146958_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146958_2_fastqc.zip
FastQC	all_sections	SRR13343624_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343624_1_fastqc.zip
FastQC	all_sections	SRR13343626_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343626_2_fastqc.zip
FastQC	all_sections	ERR146959_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146959_2_fastqc.zip
FastQC	all_sections	ERR146949_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146949_1_fastqc.zip
FastQC	all_sections	SRR13343625_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343625_1_fastqc.zip
FastQC	all_sections	ERR146959_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146959_1_fastqc.zip
FastQC	all_sections	ERR146949_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146949_2_fastqc.zip
FastQC	all_sections	SRR13343625_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343625_2_fastqc.zip
FastQC	all_sections	ERR146948_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146948_2_fastqc.zip
FastQC	all_sections	ERR146958_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146958_1_fastqc.zip
FastQC	all_sections	SRR13343626_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343626_1_fastqc.zip
FastQC	all_sections	SRR13343624_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/SRR13343624_2_fastqc.zip
FastQC	all_sections	ERR146961_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146961_2_fastqc.zip
FastQC	all_sections	ERR146945_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146945_2_fastqc.zip
FastQC	all_sections	ERR146952_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146952_1_fastqc.zip
FastQC	all_sections	ERR146955_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146955_1_fastqc.zip
FastQC	all_sections	ERR146942_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146942_2_fastqc.zip
FastQC	all_sections	ERR146957_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146957_2_fastqc.zip
FastQC	all_sections	ERR146950_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146950_2_fastqc.zip
FastQC	all_sections	ERR146947_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146947_1_fastqc.zip
FastQC	all_sections	ERR146960_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146960_2_fastqc.zip
FastQC	all_sections	ERR146946_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146946_1_fastqc.zip
FastQC	all_sections	ERR146951_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146951_2_fastqc.zip
FastQC	all_sections	ERR146956_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146956_2_fastqc.zip
FastQC	all_sections	ERR146941_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146941_1_fastqc.zip
FastQC	all_sections	ERR146943_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146943_2_fastqc.zip
FastQC	all_sections	ERR146954_1	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146954_1_fastqc.zip
FastQC	all_sections	ERR146944_2	/Users/astrasb/Documents/RStudio/Bryant-DeMarco-Hallem-2021/Preprocessing/Data/S_stercoralis/Reads/ERR146944_2_fastqc.zip
