Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR146941_1	167.69	93.00727849096224	59252425.0	72.80848744020538	34.0	101.0	18.181818181818183	63707299.0
ERR146941_2				70.56990894649643	34.0	101.0	18.181818181818183	63707299.0
ERR146942_1	170.793	93.58902598359496	58104729.0	72.92042365559911	34.0	101.0	18.181818181818183	62084981.0
ERR146942_2				71.07119001540488	34.0	101.0	18.181818181818183	62084981.0
ERR146943_1	168.775	92.88665866521049	55446339.0	71.26957902577132	34.0	101.0	18.181818181818183	59692468.0
ERR146943_2				69.37463365956238	34.0	101.0	18.181818181818183	59692468.0
ERR146944_1	171.05	84.7923444788736	58384643.0	72.90181007210825	34.0	101.0	27.27272727272727	68856031.0
ERR146944_2				70.89671692013462	33.0	101.0	18.181818181818183	68856031.0
ERR146945_1	168.179	91.69132894875911	53604659.0	74.11199907969231	32.0	101.0	18.181818181818183	58462081.0
ERR146945_2				72.84070108250359	32.0	101.0	18.181818181818183	58462081.0
ERR146946_1	174.921	89.01894230064539	55436557.0	73.5092455490842	33.0	101.0	18.181818181818183	62275012.0
ERR146946_2				72.26110535242775	33.0	101.0	18.181818181818183	62275012.0
ERR146947_1	169.404	89.74436836168181	45214856.0	75.36232015894558	34.0	101.0	27.27272727272727	50381831.0
ERR146947_2				74.74411955928326	34.0	101.0	27.27272727272727	50381831.0
ERR146948_1	169.124	87.70110348275368	36138029.0	72.94619427417908	32.0	101.0	18.181818181818183	41205900.0
ERR146948_2				73.31304515144984	32.0	101.0	18.181818181818183	41205900.0
ERR146949_1	174.132	88.79760635236853	27088073.0	69.295699938419	32.0	101.0	18.181818181818183	30505391.0
ERR146949_2				72.26176311286619	32.0	101.0	18.181818181818183	40706566.0
ERR146950_1	171.079	93.39456535541721	59485935.0	75.43432724753973	35.0	101.0	27.27272727272727	63693144.0
ERR146950_2				73.10759138648814	35.0	101.0	18.181818181818183	63693144.0
ERR146951_1	168.323	94.48903459022586	60398641.0	76.14682361875589	34.0	101.0	27.27272727272727	63921323.0
ERR146951_2				74.53638041088752	34.0	101.0	18.181818181818183	63921323.0
ERR146952_1	169.842	91.08267913549166	54149263.0	74.96835807971146	35.0	101.0	27.27272727272727	75330900.0
ERR146953_1	174.673	92.96279124944972	39486878.0					
ERR146953_2				74.4870470902185	34.0	101.0	18.181818181818183	70262364.0
ERR146954_1	174.365	94.12295318108977	60967421.0	73.72539843222972	35.0	101.0	27.27272727272727	64774233.0
ERR146954_2				74.58562328187458	35.0	101.0	18.181818181818183	64774233.0
ERR146955_1	177.535	93.72748086989986	61884066.0	73.09165774238656	35.0	101.0	27.27272727272727	66025530.0
ERR146955_2				73.666014402704	35.0	101.0	18.181818181818183	66025530.0
ERR146956_1	173.591	94.39094516293433	42524329.0	70.80646208970887	35.0	101.0	27.27272727272727	45051280.0
ERR146956_2				72.18303567781554	35.0	101.0	18.181818181818183	45051280.0
ERR146957_1	173.791	94.90240472116271	42790122.0	72.25853471184497	36.0	101.0	27.27272727272727	45088554.0
ERR146957_2				73.71437093041837	36.0	101.0	18.181818181818183	45088554.0
ERR146958_1	177.638	94.6785657775829	46026557.0	72.20453606721523	35.0	101.0	27.27272727272727	48613492.0
ERR146958_2				73.61951647978293	35.0	101.0	18.181818181818183	48613492.0
ERR146959_1	173.926	93.69280810763941	11075380.0	70.19673114964922	33.0	101.0	27.27272727272727	43670360.0
ERR146959_2				55.10604373246684	33.0	101.0	18.181818181818183	11820927.0
ERR146960_1	169.833	94.45771994301465	40972042.0	71.02226249961097	33.0	101.0	27.27272727272727	43376065.0
ERR146960_2				71.97924859977569	33.0	101.0	18.181818181818183	43376065.0
ERR146961_1	176.33	94.2978299469869	43510172.0	71.26479799610969	33.0	101.0	27.27272727272727	46141223.0
ERR146961_2				72.33720771039816	33.0	101.0	18.181818181818183	46141223.0
SRR13343624_1	170.396	95.51742454383464	42616057.0	78.50968200659344	35.0	100.0	20.0	44616003.0
SRR13343624_2				77.80335051196315	35.0	100.0	20.0	44616003.0
SRR13343625_1	168.37	95.38273036862557	46669220.0	80.38398708684602	35.0	100.0	20.0	48928375.0
SRR13343625_2				79.82593151468109	35.0	100.0	20.0	48928375.0
SRR13343626_1	168.984	94.89658650676505	42873437.0	79.8950205968401	35.0	100.0	20.0	45179114.0
SRR13343626_2				79.17018521949635	35.0	100.0	20.0	45179114.0
