Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
ERR146941_1	63707299.0	59252425.0	4454874.0	93.00727849096224	167.69
ERR146942_1	62084981.0	58104729.0	3980252.0	93.58902598359496	170.793
ERR146943_1	59692468.0	55446339.0	4246129.0	92.88665866521049	168.775
ERR146944_1	68856031.0	58384643.0	10471388.0	84.7923444788736	171.05
ERR146945_1	58462081.0	53604659.0	4857422.0	91.69132894875911	168.179
ERR146946_1	62275012.0	55436557.0	6838455.0	89.01894230064539	174.921
ERR146947_1	50381831.0	45214856.0	5166975.0	89.74436836168181	169.404
ERR146948_1	41205900.0	36138029.0	5067871.0	87.70110348275368	169.124
ERR146949_1	30505409.0	27088073.0	3417336.0	88.79760635236853	174.132
ERR146950_1	63693144.0	59485935.0	4207209.0	93.39456535541721	171.079
ERR146951_1	63921323.0	60398641.0	3522682.0	94.48903459022586	168.323
ERR146952_1	59450670.0	54149263.0	5301407.0	91.08267913549166	169.842
ERR146953_1	42476003.0	39486878.0	2989125.0	92.96279124944972	174.673
ERR146954_1	64774233.0	60967421.0	3806812.0	94.12295318108977	174.365
ERR146955_1	66025530.0	61884066.0	4141464.0	93.72748086989986	177.535
ERR146956_1	45051280.0	42524329.0	2526951.0	94.39094516293433	173.591
ERR146957_1	45088554.0	42790122.0	2298432.0	94.90240472116271	173.791
ERR146958_1	48613492.0	46026557.0	2586935.0	94.6785657775829	177.638
ERR146959_1	11820950.0	11075380.0	745570.0	93.69280810763941	173.926
ERR146960_1	43376065.0	40972042.0	2404023.0	94.45771994301465	169.833
ERR146961_1	46141223.0	43510172.0	2631051.0	94.2978299469869	176.33
SRR13343624_1	44616003.0	42616057.0	1999946.0	95.51742454383464	170.396
SRR13343625_1	48928375.0	46669220.0	2259155.0	95.38273036862557	168.37
SRR13343626_1	45179114.0	42873437.0	2305677.0	94.89658650676505	168.984
