sample	run_accession	group   	block	DevelopmentalStage	Sex	CultureCondition	CultureTime	CultureTemp	BaermannTime	BaermannTemp	AgaroseMigrationTime	ExtractName	sample_accession	scientific_name	instrument_model	library_source	library_selection	experiment_alias	SRA Study
ERR146941	ERR146941	FLF	PRJEB3116	Young gravid females with 1-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                          	Female	Incubated	48	21	1	29	1	FL_Female_20110928	SAMEA1469175	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:FL_Female_20110928	
ERR146942	ERR146942	FLF	PRJEB3116	Young gravid females with 2-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                        	Female	Incubated	48	20.6	1	29	1	FL_Female_20111012	SAMEA1469171	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:FL_Female_20111012	
ERR146943	ERR146943	FLF	PRJEB3116	Young gravid females with 2-10 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                       	Female	Incubated	48	20.5	1	28	1	FL_Female_20111013	SAMEA1469187	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:FL_Female_20111013	
ERR146944	ERR146944	iL3a	PRJEB3116	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                     	Female	In vivo	72	na	na	na	na	L3_plus_g1	SAMEA1469183	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3_plus_g1	
ERR146945	ERR146945	iL3a	PRJEB3116	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	In vivo	72	na	na	na	na	L3_plus_g2	SAMEA1469188	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3_plus_g2	
ERR146946	ERR146946	iL3a	PRJEB3116	Tissue migrating third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	In vivo	72	na	na	na	na	L3_plus_g3	SAMEA1469179	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3_plus_g3	
ERR146947	ERR146947	iL3	PRJEB3116	Young infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Female	Incubated	192	21	1	30	2	L3i_20110803	SAMEA1469189	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3i_20110803	
ERR146948	ERR146948	iL3	PRJEB3116	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                              	Female	Incubated	168	25	1	28	1	L3i_20110923	SAMEA1469172	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3i_20110923	
ERR146949	ERR146949	iL3	PRJEB3116	Infectious third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                         	Female	Incubated	240	21	1	27	0.5	L3i_20111104	SAMEA1469181	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:L3i_20111104	
ERR146950	ERR146950	pfL1   	PRJEB3116	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                       	Female	Incubated	72	21	2	29	2	PFL_L1_20110930	SAMEA1469186	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PFL_L1_20110930	
ERR146951	ERR146951	pfL1   	PRJEB3116	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Female	Incubated	72	20.5	2	29	2	PFL_L1_20111010	SAMEA1469178	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PFL_L1_20111010	
ERR146952	ERR146952	pfL1   	PRJEB3116	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                   	Female	Incubated	72	20.5	2	29	2	PFL_L1_20111017	SAMEA1469184	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PFL_L1_20111017	
ERR146953	ERR146953	ppL1    	PRJEB3116	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      	Mixed sex	Isolated from fresh canine feces	na	na	2	29	2	PP_L1_20110927	SAMEA1469177	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L1_20110927	
ERR146954	ERR146954	ppL1    	PRJEB3116	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Mixed sex	Isolated from fresh canine feces	na	na	2	28	2	PP_L1_20111013	SAMEA1469170	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L1_20111013	
ERR146955	ERR146955	ppL1    	PRJEB3116	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Mixed sex	Isolated from fresh canine feces	na	na	2	28	2	PP_L1_20111017	SAMEA1469174	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L1_20111017	
ERR146956	ERR146956	ppL3    	PRJEB3116	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                               	Female enriched	Incubated	24	21	1	29	2	PP_L3_20110929	SAMEA1469182	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L3_20110929	
ERR146957	ERR146957	ppL3    	PRJEB3116	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             	Female enriched	Incubated	24	21	1	29.5	1	PP_L3_20111003	SAMEA1469180	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L3_20111003	
ERR146958	ERR146958	ppL3    	PRJEB3116	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             	Female enriched	Incubated	24	20.6	1	28	1	PP_L3_20111012	SAMEA1469185	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:PP_L3_20111012	
ERR146959	ERR146959	PF	PRJEB3116	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g1	SAMEA1469173	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:P_Female_g1	
ERR146960	ERR146960	PF	PRJEB3116	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g2	SAMEA1469190	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:P_Female_g2	
ERR146961	ERR146961	PF	PRJEB3116	Gravid parasitic females                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    	Female	In vivo	21	na	na	na	na	P_Female_g3	SAMEA1469176	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	RANDOM PCR	E-MTAB-1164:P_Female_g3	
SRR13343624	SRR13343624	FLM	PRJNA689252	rhabditiform free-living adult male	Male	Incubated	48	21		29	0.5	FL_Male_20111005	SAMN17204311	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	Oligo-dT	FL_Male_20111005	SRP300072
SRR13343626	SRR13343626	FLM	PRJNA689252	rhabditiform free-living adult male	Male	Incubated	48	21		29	0.5	FL_Male_20110923	SAMN17204309	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	Oligo-dT	FL_Male_20110923	SRP300072
SRR13343625	SRR13343625	FLM	PRJNA689252	rhabditiform free-living adult male	Male	Incubated	48	21		29	0.5	FL_Male_20111003	SAMN17204310	Strongyloides stercoralis	Illumina HiSeq 2000	TRANSCRIPTOMIC	Oligo-dT	FL_Male_20111003	SRP300072
