Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
DRR029282_1	DRR029282_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37819380.0	0.0	101.0	36.0	24.235990495683733	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
DRR029282_2	DRR029282_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	37819380.0	0.0	101.0	35.0	35.53061222698649	101.0	pass	pass	pass	pass	fail	warn	pass	pass	fail	warn	fail
DRR029433_1	DRR029433_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48220414.0	0.0	101.0	36.0	22.920383600125625	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
DRR029433_2	DRR029433_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48220414.0	0.0	101.0	36.0	32.93474368433165	101.0	pass	pass	pass	pass	warn	warn	pass	pass	fail	warn	fail
DRR029434_1	DRR029434_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31704641.0	0.0	101.0	42.0	14.664282465251596	101.0	pass	pass	pass	pass	fail	fail	pass	pass	fail	pass	pass
DRR029434_2	DRR029434_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	31704641.0	0.0	101.0	42.0	14.841942527271934	101.0	pass	pass	warn	pass	fail	fail	pass	pass	fail	pass	pass
DRR029435_1	DRR029435_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49465819.0	0.0	101.0	34.0	22.373528831062305	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
DRR029435_2	DRR029435_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	49465819.0	0.0	101.0	33.0	32.072025547535866	101.0	pass	pass	pass	pass	warn	pass	pass	pass	fail	warn	fail
DRR029436_1	DRR029436_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23281123.0	0.0	101.0	35.0	22.105288452436763	101.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
DRR029436_2	DRR029436_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23281123.0	0.0	101.0	35.0	23.46692502858687	101.0	pass	pass	warn	pass	fail	pass	pass	pass	fail	pass	pass
