Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
DRR029282_1	185.995	75.1579957154242	28424288.0	75.76400950431626	36.0	101.0	18.181818181818183	37819380.0
DRR029282_2				64.46938777301351	35.0	101.0	27.27272727272727	37819380.0
DRR029433_1	178.231	76.4926282051415	36885062.0	77.07961639987437	36.0	101.0	18.181818181818183	48220414.0
DRR029433_2				67.06525631566835	36.0	101.0	18.181818181818183	48220414.0
DRR029434_1	169.608	93.02689786015871	29493844.0	85.3357175347484	42.0	101.0	27.27272727272727	31704641.0
DRR029434_2				85.15805747272806	42.0	101.0	27.27272727272727	31704641.0
DRR029435_1	180.321	69.62807186109666	34442096.0	77.6264711689377	34.0	101.0	18.181818181818183	49465819.0
DRR029435_2				67.92797445246413	33.0	101.0	18.181818181818183	49465819.0
DRR029436_1	167.179	83.29331450205387	19391619.0	77.89471154756323	35.0	101.0	18.181818181818183	23281123.0
DRR029436_2				76.53307497141313	35.0	101.0	18.181818181818183	23281123.0
DRR029437_1	189.698	75.75988557017295	34295982.0	74.98559867356266	35.0	101.0	18.181818181818183	45269316.0
DRR029437_2				62.19193186326968	34.0	101.0	18.181818181818183	45269316.0
DRR029438_1	167.792	87.06289570838383	15995708.0	74.96184134246757	36.0	101.0	18.181818181818183	18372589.0
DRR029438_2				73.98485566578006	35.0	101.0	18.181818181818183	18372589.0
DRR029439_1	164.221	69.36784091411099	30038669.0	78.94750390077995	35.0	101.0	18.181818181818183	43303451.0
DRR029439_2				70.4667356965318	34.0	101.0	36.36363636363637	43303451.0
DRR029440_1	172.858	85.90569512233533	20346044.0	78.38391826148768	36.0	101.0	18.181818181818183	23684162.0
DRR029440_2				77.67290119142189	35.0	101.0	18.181818181818183	23684162.0
DRR029441_1	170.56	71.5120325472538	38530199.0	79.0697799817738	37.0	101.0	18.181818181818183	53879323.0
DRR029441_2				69.46224009219345	36.0	101.0	18.181818181818183	53879323.0
DRR029442_1	169.747	90.06750799203247	19996889.0	79.31954390646959	38.0	101.0	18.181818181818183	22202112.0
DRR029442_2				76.87215803274138	37.0	101.0	18.181818181818183	22202112.0
DRR029443_1	185.425	74.77488136214986	35108401.0	75.5517759348158	34.0	101.0	18.181818181818183	46952132.0
DRR029443_2				63.96140472001111	33.0	101.0	27.27272727272727	46952132.0
DRR029444_1	190.892	79.0591927581332	30382345.0	75.56977605826775	35.0	101.0	18.181818181818183	38429870.0
DRR029444_2				62.59458487470591	34.0	101.0	27.27272727272727	38429870.0
DRR029445_1	166.151	91.94193067767351	27432233.0	79.67750572767264	37.0	101.0	18.181818181818183	29836477.0
DRR029445_2				78.5521802600455	37.0	101.0	18.181818181818183	29836477.0
DRR106346_1	334.471	85.00255265529262	15364463.0	71.18338142753804	35.0	150.0	20.0	18075296.0
DRR106346_2				67.79474056307512	35.0	150.0	20.0	18075296.0
DRR106347_1	336.523	85.02102111798725	15693067.0	71.31620961386199	35.0	150.0	20.0	18457867.0
DRR106347_2				67.77646986631986	35.0	150.0	20.0	18457867.0
DRR106348_1	309.541	86.02674531625408	16034784.0	69.69484165156696	34.0	150.0	20.0	18639301.0
DRR106348_2				68.27350289712213	34.0	150.0	20.0	18639301.0
DRR106349_1	309.732	86.01247547515018	16392009.0	69.9979002356541	34.0	150.0	20.0	19057711.0
DRR106349_2				68.21979149959738	34.0	150.0	20.0	19057711.0
DRR106350_1	346.321	86.64366106534617	11309643.0	64.36015069032685	34.0	150.0	20.0	13053053.0
DRR106350_2				62.00397198096177	34.0	150.0	20.0	13053053.0
DRR106351_1	346.843	86.65148567289972	11580173.0	64.58584270335317	34.0	150.0	20.0	13364079.0
DRR106351_2				62.44562136064856	34.0	150.0	20.0	13364079.0
DRR106352_1	322.613	86.35871199358142	15431769.0	77.79922854735014	37.0	150.0	30.0	17869383.0
DRR106352_2				75.88293584992695	37.0	150.0	30.0	17869383.0
DRR106353_1	324.762	86.3568459195574	15719294.0	77.85595101311321	37.0	150.0	30.0	18202719.0
DRR106353_2				75.61609873940922	37.0	150.0	30.0	18202719.0
DRR106354_1	344.115	85.75251471482346	12702189.0	80.36200616601846	38.0	150.0	30.0	14812614.0
DRR106354_2				78.09356849648059	38.0	150.0	30.0	14812614.0
DRR106355_1	343.184	85.73851388174354	12980805.0	80.38995669736701	38.0	150.0	30.0	15139993.0
DRR106355_2				78.00870183408014	38.0	150.0	30.0	15139993.0
DRR106356_1	361.868	85.85758776522063	13552312.0	80.89169007978101	38.0	150.0	30.0	15784641.0
DRR106356_2				77.88475235855321	38.0	150.0	30.0	15784641.0
DRR106357_1	360.733	85.84507672288349	13788571.0	80.94983326355845	38.0	150.0	30.0	16062157.0
DRR106357_2				77.95244989162299	38.0	150.0	30.0	16062157.0
