Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
DRR029282_1	37819380.0	28424288.0	9395092.0	75.1579957154242	185.995
DRR029433_1	48220414.0	36885062.0	11335352.0	76.4926282051415	178.231
DRR029434_1	31704641.0	29493844.0	2210797.0	93.02689786015871	169.608
DRR029435_1	49465819.0	34442096.0	15023723.0	69.62807186109666	180.321
DRR029436_1	23281123.0	19391619.0	3889504.0	83.29331450205387	167.179
DRR029437_1	45269316.0	34295982.0	10973334.0	75.75988557017295	189.698
DRR029438_1	18372589.0	15995708.0	2376881.0	87.06289570838383	167.792
DRR029439_1	43303451.0	30038669.0	13264782.0	69.36784091411099	164.221
DRR029440_1	23684162.0	20346044.0	3338118.0	85.90569512233533	172.858
DRR029441_1	53879323.0	38530199.0	15349124.0	71.5120325472538	170.56
DRR029442_1	22202112.0	19996889.0	2205223.0	90.06750799203247	169.747
DRR029443_1	46952132.0	35108401.0	11843731.0	74.77488136214986	185.425
DRR029444_1	38429870.0	30382345.0	8047525.0	79.0591927581332	190.892
DRR029445_1	29836477.0	27432233.0	2404244.0	91.94193067767351	166.151
DRR106346_1	18075296.0	15364463.0	2710833.0	85.00255265529262	334.471
DRR106347_1	18457867.0	15693067.0	2764800.0	85.02102111798725	336.523
DRR106348_1	18639301.0	16034784.0	2604517.0	86.02674531625408	309.541
DRR106349_1	19057711.0	16392009.0	2665702.0	86.01247547515018	309.732
DRR106350_1	13053053.0	11309643.0	1743410.0	86.64366106534617	346.321
DRR106351_1	13364079.0	11580173.0	1783906.0	86.65148567289972	346.843
DRR106352_1	17869383.0	15431769.0	2437614.0	86.35871199358142	322.613
DRR106353_1	18202719.0	15719294.0	2483425.0	86.3568459195574	324.762
DRR106354_1	14812614.0	12702189.0	2110425.0	85.75251471482346	344.115
DRR106355_1	15139993.0	12980805.0	2159188.0	85.73851388174354	343.184
DRR106356_1	15784641.0	13552312.0	2232329.0	85.85758776522063	361.868
DRR106357_1	16062157.0	13788571.0	2273586.0	85.84507672288349	360.733
