Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
ERR1466827_1	21922262.0	20706699.0	1215563.0	94.45512055279697	180.252
ERR1466828_1	42540528.0	36978268.0	5562260.0	86.92479792446393	177.85
ERR1466829_1	26456217.0	25173056.0	1283161.0	95.14986968847435	179.207
ERR1466830_1	42688209.0	37127401.0	5560808.0	86.97343334315103	169.274
ERR1466831_1	31486132.0	29693040.0	1793092.0	94.30513725852386	173.584
ERR1466832_1	38408904.0	35674014.0	2734890.0	92.87954168127266	169.951
ERR1466833_1	18201023.0	15438846.0	2762177.0	84.82405631815311	178.717
ERR1466834_1	45661894.0	38707245.0	6954649.0	84.76924982568616	171.482
ERR1466835_1	25822886.0	24439699.0	1383187.0	94.64356152910251	175.935
ERR1466836_1	15999663.0	15049353.0	950310.0	94.06043739796269	179.011
