Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR225783_1	312.455	71.7430488802748	27616031.0	89.04229006116823	37.0	54.0	27.27272727272727	38492971.0
ERR225783_2				81.24850876856942	37.0	54.0	18.181818181818183	38492971.0
ERR225784_1	401.706	91.84608566204999	5381906.0	58.57232353138209	30.0	150.0	18.181818181818183	5859701.0
ERR225784_2				56.56821924681944	30.0	150.0	18.181818181818183	5859701.0
ERR299168_1	372.608	97.34954152901334	33656620.0	74.39195031838585	32.0	100.0	27.27272727272727	34572962.0
ERR299168_2				71.83636209160566	32.0	100.0	18.181818181818183	34572962.0
ERR299169_1	371.723	97.12710765494045	19831137.0	68.24889651774153	31.0	100.0	27.27272727272727	20417716.0
ERR299169_2				66.09551887339099	31.0	100.0	18.181818181818183	20417716.0
ERR299170_1	371.214	97.2616406780418	29966329.0	72.87790359757952	31.0	100.0	27.27272727272727	30810018.0
ERR299170_2				69.90984177924864	31.0	100.0	18.181818181818183	30810018.0
ERR299171_1	368.282	96.83000924287253	21796743.0	67.95522925018909	32.0	100.0	27.27272727272727	22510318.0
ERR299171_2				65.40629435943993	32.0	100.0	18.181818181818183	22510318.0
ERR299172_1	373.595	97.14351716228117	34613193.0	73.79071766350468	32.0	100.0	27.27272727272727	35630986.0
ERR299172_2				71.08888843722558	32.0	100.0	18.181818181818183	35630986.0
ERR299173_1	373.686	97.38725517441505	19116268.0	67.34239112066014	32.0	100.0	27.27272727272727	19629127.0
ERR299173_2				64.94755752504037	32.0	100.0	18.181818181818183	19629127.0
ERR299174_1	372.897	97.34463054543698	33573286.0	74.41435745792242	32.0	100.0	27.27272727272727	34489099.0
ERR299174_2				71.71341524706287	32.0	100.0	18.181818181818183	34489099.0
ERR299175_1	371.94	97.13534817178251	19769022.0	68.13265480097996	31.0	100.0	27.27272727272727	20352037.0
ERR299175_2				65.91152123945412	31.0	100.0	18.181818181818183	20352037.0
ERR299176_1	371.133	97.25622124368958	29864002.0	72.91454137030956	31.0	100.0	27.27272727272727	30706521.0
ERR299176_2				69.91713435925425	31.0	100.0	18.181818181818183	30706521.0
ERR299177_1	368.312	96.82900704270203	21741046.0	68.22681160860023	32.0	100.0	27.27272727272727	22453030.0
ERR299177_2				65.78891372564357	32.0	100.0	18.181818181818183	22453030.0
ERR299178_1	372.947	97.14041711052911	34518515.0	74.01212570597356	32.0	100.0	27.27272727272727	35534658.0
ERR299178_2				70.90611918662341	32.0	100.0	18.181818181818183	35534658.0
ERR299179_1	374.131	97.38498178609787	19057382.0	67.60099187995785	32.0	100.0	27.27272727272727	19569118.0
ERR299179_2				65.10314425492066	32.0	100.0	18.181818181818183	19569118.0
ERR349739_1				73.41380600749744	38.0	100.0	54.54545454545454	51695906.0
ERR349739_2				34.355677015804574	38.0	100.0	36.36363636363637	51695906.0
ERR349740_1				46.79352959109209	43.0	100.0	18.181818181818183	58290540.0
ERR349740_2				49.19891205511405	42.0	100.0	27.27272727272727	58290540.0
