Source Name	Comment[ENA_SAMPLE]	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Culture]	Characteristics[CultureTemperature]	Unit[TemperatureUnit]	Characteristics[CultureTime]	Unit[TimeUnit]	Characteristics[Sex]	Characteristics[Strain]	Characteristics[BaermannTemperature]	Unit[TemperatureUnit]	Characteristics[Baermann_time&temp]	Unit[TimeUnit]	Characteristics[Wash]	Characteristics[AgaroseMigrationTemperature]	Unit[TemperatureUnit]	Characteristics[AgaroseMigrationTtime]	Unit[TimeUnit]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment [ORIENTATION]	Comment [NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[quality_scoring_system]	Comment[quality_encoding]	Comment[ascii_offset]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Protocol REF	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	FactorValue[DevelopmentalStage]
PP_L1_20110927	ERS152077	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	29	degree celsius	2	hour	na	25	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20110927	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	59.69	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20110927	high_throughput_sequencing	ERX122881	P-MTAB-27187	PP_L1_20110927_1.fastq.gz	PP_L1_20110927_1.fastq.gz	ERR146953	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146953/ERR146953_1.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                      
PP_L1_20111013	ERS152071	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	28	degree celsius	2	hour	na	28.8	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20111013	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	176	56.94	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20111013	high_throughput_sequencing	ERX122875	P-MTAB-27187	PP_L1_20111013_1.fastq.gz	PP_L1_20111013_1.fastq.gz	ERR146954	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146954/ERR146954_1.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PP_L1_20111017	ERS152085	whole organism	Strongyloides stercoralis	Post parasitic first stage larvae	Isolated from fresh canine feces	na	degree celsius	na	hour	Mixed sex	PV001	28	degree celsius	2	hour	na	28.5	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L1_20111017	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	57.29	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L1_20111017	high_throughput_sequencing	ERX122889	P-MTAB-27187	PP_L1_20111017_1.fastq.gz	PP_L1_20111017_1.fastq.gz	ERR146955	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146955/ERR146955_1.fastq.gz	100	101	Post parasitic first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                    
PP_L3_20110929	ERS152082	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	21	degree celsius	24	hour	Female enriched	PV001	29	degree celsius	1	hour	na	25	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20110929	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	175	56.87	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20110929	high_throughput_sequencing	ERX122886	P-MTAB-27187	PP_L3_20110929_1.fastq.gz	PP_L3_20110929_1.fastq.gz	ERR146956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146956/ERR146956_1.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                               
PP_L3_20111003	ERS152069	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	21	degree celsius	24	hour	Female enriched	PV001	29.5	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20111003	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	178	58.83	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20111003	high_throughput_sequencing	ERX122873	P-MTAB-27187	PP_L3_20111003_1.fastq.gz	PP_L3_20111003_1.fastq.gz	ERR146957	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146957/ERR146957_1.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             
PP_L3_20111012	ERS152083	whole organism	Strongyloides stercoralis	Post parasitic heterogonically developing ~third stage larvae	Incubated	20.6	degree celsius	24	hour	Female enriched	PV001	28	degree celsius	1	hour	na	27	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PP_L3_20111012	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	177	57.28	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PP_L3_20111012	high_throughput_sequencing	ERX122887	P-MTAB-27187	PP_L3_20111012_1.fastq.gz	PP_L3_20111012_1.fastq.gz	ERR146958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146958/ERR146958_1.fastq.gz	100	101	Post parasitic heterogonically developing ~third stage larvae                                                                                                                                                                                                                                                                                                                                                                                                             
FL_Female_20110928	ERS152080	whole organism	Strongyloides stercoralis	Young gravid females with 1-6 eggs per gonadal arm	Incubated	21	degree celsius	48	hour	Female	PV001	29	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20110928	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	56.82	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20110928	high_throughput_sequencing	ERX122884	P-MTAB-27187	FL_Female_20110928_1.fastq.gz	FL_Female_20110928_1.fastq.gz	ERR146941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146941/ERR146941_1.fastq.gz	100	101	Young gravid females with 1-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                          
FL_Female_20111012	ERS152073	whole organism	Strongyloides stercoralis	Young gravid females with 2-6 eggs per gonadal arm	Incubated	20.6	degree celsius	48	hour	Female	PV001	29	degree celsius	1	hour	na	27	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20111012	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	174	58.17	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20111012	high_throughput_sequencing	ERX122877	P-MTAB-27187	FL_Female_20111012_1.fastq.gz	FL_Female_20111012_1.fastq.gz	ERR146942	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146942/ERR146942_1.fastq.gz	100	101	Young gravid females with 2-6 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                        
FL_Female_20111013	ERS152084	whole organism	Strongyloides stercoralis	Young gravid females with 2-10 eggs per gonadal arm	Incubated	20.5	degree celsius	48	hour	Female	PV001	28	degree celsius	1	hour	na	29	degree celsius	1	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	FL_Female_20111013	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	172	55.4	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	FL_Female_20111013	high_throughput_sequencing	ERX122888	P-MTAB-27187	FL_Female_20111013_1.fastq.gz	FL_Female_20111013_1.fastq.gz	ERR146943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146943/ERR146943_1.fastq.gz	100	101	Young gravid females with 2-10 eggs per gonadal arm                                                                                                                                                                                                                                                                                                                                                                                                                       
PFL_L1_20110930	ERS152070	whole organism	Strongyloides stercoralis	Post free living first stage larvae	Incubated	21	degree celsius	72	hour	Female	PV001	29	degree celsius	2	hour	na	29	degree celsius	2	hour	P-MTAB-27183	P-MTAB-27184	P-MTAB-27185	PFL_L1_20110930	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM PCR	5'-3'-5'-3	169	52.41	phred	ascii	!	P-MTAB-27186	Penn Genome Frontiers Institute	PFL_L1_20110930	high_throughput_sequencing	ERX122874	P-MTAB-27187	PFL_L1_20110930_1.fastq.gz	PFL_L1_20110930_1.fastq.gz	ERR146950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/ERR146950/ERR146950_1.fastq.gz	100	101	Post free living first stage larvae                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
