Sample	Kallisto_mqc-generalstats-kallisto-fragment_length	Kallisto_mqc-generalstats-kallisto-percent_aligned	Kallisto_mqc-generalstats-kallisto-pseudoaligned_reads	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR146941_1	167.661	92.87829640996081	59170254.0	72.80848744020538	34.0	101.0	18.181818181818183	63707299.0
ERR146941_2				70.56990894649643	34.0	101.0	18.181818181818183	63707299.0
ERR146942_1	171.118	93.46298744941228	58026478.0	72.92042365559911	34.0	101.0	18.181818181818183	62084981.0
ERR146942_2				71.07119001540488	34.0	101.0	18.181818181818183	62084981.0
ERR146943_1	168.77	92.75448621089012	55367442.0	71.26957902577132	34.0	101.0	18.181818181818183	59692468.0
ERR146943_2				69.37463365956238	34.0	101.0	18.181818181818183	59692468.0
ERR146944_1	171.009	84.72807559878089	58340390.0	72.90181007210825	34.0	101.0	27.27272727272727	68856031.0
ERR146944_2				70.89671692013462	33.0	101.0	18.181818181818183	68856031.0
ERR146945_1	168.17	91.6206455257725	53563336.0	74.11199907969231	32.0	101.0	18.181818181818183	58462081.0
ERR146945_2				72.84070108250359	32.0	101.0	18.181818181818183	58462081.0
ERR146946_1	174.949	88.95162637624222	55394636.0	73.5092455490842	33.0	101.0	18.181818181818183	62275012.0
ERR146946_2				72.26110535242775	33.0	101.0	18.181818181818183	62275012.0
ERR146947_1	169.425	89.67000028244308	45177388.0	75.36232015894558	34.0	101.0	27.27272727272727	50381831.0
ERR146947_2				74.74411955928326	34.0	101.0	27.27272727272727	50381831.0
ERR146948_1	169.057	87.64921528227754	36116648.0	72.94619427417908	32.0	101.0	18.181818181818183	41205900.0
ERR146948_2				73.31304515144984	32.0	101.0	18.181818181818183	41205900.0
ERR146949_1	174.218	88.75177513600948	27074092.0	69.295699938419	32.0	101.0	18.181818181818183	30505391.0
ERR146949_2				72.26176311286619	32.0	101.0	18.181818181818183	40706566.0
ERR146950_1	171.09	93.3251355907317	59441713.0	75.43432724753973	35.0	101.0	27.27272727272727	63693144.0
ERR146950_2				73.10759138648814	35.0	101.0	18.181818181818183	63693144.0
ERR146951_1	168.374	94.42281255661746	60356311.0	76.14682361875589	34.0	101.0	27.27272727272727	63921323.0
ERR146951_2				74.53638041088752	34.0	101.0	18.181818181818183	63921323.0
ERR146952_1	169.866	91.00922495911315	54105594.0	74.96835807971146	35.0	101.0	27.27272727272727	75330900.0
ERR146953_1	174.773	92.87785152477741	39450799.0					
ERR146953_2				74.4870470902185	34.0	101.0	18.181818181818183	70262364.0
ERR146954_1	175.061	94.0459935666085	60917571.0	73.72539843222972	35.0	101.0	27.27272727272727	64774233.0
ERR146954_2				74.58562328187458	35.0	101.0	18.181818181818183	64774233.0
ERR146955_1	177.584	93.65323686155946	61835046.0	73.09165774238656	35.0	101.0	27.27272727272727	66025530.0
ERR146955_2				73.666014402704	35.0	101.0	18.181818181818183	66025530.0
ERR146956_1	173.589	94.2918336615519	42479678.0	70.80646208970887	35.0	101.0	27.27272727272727	45051280.0
ERR146956_2				72.18303567781554	35.0	101.0	18.181818181818183	45051280.0
ERR146957_1	173.797	94.80936336969245	42748171.0	72.25853471184497	36.0	101.0	27.27272727272727	45088554.0
ERR146957_2				73.71437093041837	36.0	101.0	18.181818181818183	45088554.0
ERR146958_1	177.645	94.56707203835512	45972356.0	72.20453606721523	35.0	101.0	27.27272727272727	48613492.0
ERR146958_2				73.61951647978293	35.0	101.0	18.181818181818183	48613492.0
ERR146959_1	173.885	93.58691983300834	11062863.0	70.19673114964922	33.0	101.0	27.27272727272727	43670360.0
ERR146959_2				55.10604373246684	33.0	101.0	18.181818181818183	11820927.0
ERR146960_1	169.844	94.3541167231283	40927103.0	71.02226249961097	33.0	101.0	27.27272727272727	43376065.0
ERR146960_2				71.97924859977569	33.0	101.0	18.181818181818183	43376065.0
ERR146961_1	176.328	94.19225623906848	43461459.0	71.26479799610969	33.0	101.0	27.27272727272727	46141223.0
ERR146961_2				72.33720771039816	33.0	101.0	18.181818181818183	46141223.0
