Sample	total_reads	pseudoaligned_reads	not_pseudoaligned_reads	percent_aligned	fragment_length
ERR146941_1	63707299.0	59170254.0	4537045.0	92.87829640996081	167.661
ERR146942_1	62084981.0	58026478.0	4058503.0	93.46298744941228	171.118
ERR146943_1	59692468.0	55367442.0	4325026.0	92.75448621089012	168.77
ERR146944_1	68856031.0	58340390.0	10515641.0	84.72807559878089	171.009
ERR146945_1	58462081.0	53563336.0	4898745.0	91.6206455257725	168.17
ERR146946_1	62275012.0	55394636.0	6880376.0	88.95162637624222	174.949
ERR146947_1	50381831.0	45177388.0	5204443.0	89.67000028244308	169.425
ERR146948_1	41205900.0	36116648.0	5089252.0	87.64921528227754	169.057
ERR146949_1	30505409.0	27074092.0	3431317.0	88.75177513600948	174.218
ERR146950_1	63693144.0	59441713.0	4251431.0	93.3251355907317	171.09
ERR146951_1	63921323.0	60356311.0	3565012.0	94.42281255661746	168.374
ERR146952_1	59450670.0	54105594.0	5345076.0	91.00922495911315	169.866
ERR146953_1	42476003.0	39450799.0	3025204.0	92.87785152477741	174.773
ERR146954_1	64774233.0	60917571.0	3856662.0	94.0459935666085	175.061
ERR146955_1	66025530.0	61835046.0	4190484.0	93.65323686155946	177.584
ERR146956_1	45051280.0	42479678.0	2571602.0	94.2918336615519	173.589
ERR146957_1	45088554.0	42748171.0	2340383.0	94.80936336969245	173.797
ERR146958_1	48613492.0	45972356.0	2641136.0	94.56707203835512	177.645
ERR146959_1	11820950.0	11062863.0	758087.0	93.58691983300834	173.885
ERR146960_1	43376065.0	40927103.0	2448962.0	94.3541167231283	169.844
ERR146961_1	46141223.0	43461459.0	2679764.0	94.19225623906848	176.328
