Module	Section	Sample Name	Source
Kallisto	all_sections	DRR029442_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029442.log
Kallisto	all_sections	DRR029443_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029443.log
Kallisto	all_sections	DRR029444_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029444.log
Kallisto	all_sections	DRR106357_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106357.log
Kallisto	all_sections	DRR029434_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029434.log
Kallisto	all_sections	DRR029435_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029435.log
Kallisto	all_sections	DRR029436_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029436.log
Kallisto	all_sections	DRR106350_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106350.log
Kallisto	all_sections	DRR106351_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106351.log
Kallisto	all_sections	DRR106352_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106352.log
Kallisto	all_sections	DRR029282_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029282.log
Kallisto	all_sections	DRR029433_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029433.log
Kallisto	all_sections	DRR029437_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029437.log
Kallisto	all_sections	DRR029438_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029438.log
Kallisto	all_sections	DRR029445_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029445.log
Kallisto	all_sections	DRR106346_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106346.log
Kallisto	all_sections	DRR029439_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029439.log
Kallisto	all_sections	DRR029440_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029440.log
Kallisto	all_sections	DRR029441_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029441.log
Kallisto	all_sections	DRR106353_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106353.log
Kallisto	all_sections	DRR106354_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106354.log
Kallisto	all_sections	DRR106347_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106347.log
Kallisto	all_sections	DRR106348_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106348.log
Kallisto	all_sections	DRR106349_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106349.log
Kallisto	all_sections	DRR106355_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106355.log
Kallisto	all_sections	DRR106356_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106356.log
FastQC	all_sections	DRR029441_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029441_2_fastqc.zip
FastQC	all_sections	DRR029442_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029442_1_fastqc.zip
FastQC	all_sections	DRR029442_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029442_2_fastqc.zip
FastQC	all_sections	DRR029443_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029443_1_fastqc.zip
FastQC	all_sections	DRR029443_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029443_2_fastqc.zip
FastQC	all_sections	DRR029444_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029444_1_fastqc.zip
FastQC	all_sections	DRR106356_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106356_2_fastqc.zip
FastQC	all_sections	DRR106357_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106357_1_fastqc.zip
FastQC	all_sections	DRR106357_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106357_2_fastqc.zip
FastQC	all_sections	DRR029433_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029433_1_fastqc.zip
FastQC	all_sections	DRR029433_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029433_2_fastqc.zip
FastQC	all_sections	DRR029434_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029434_1_fastqc.zip
FastQC	all_sections	DRR029434_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029434_2_fastqc.zip
FastQC	all_sections	DRR029435_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029435_1_fastqc.zip
FastQC	all_sections	DRR029435_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029435_2_fastqc.zip
FastQC	all_sections	DRR029441_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR029441_1_fastqc.zip
FastQC	all_sections	DRR106349_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106349_1_fastqc.zip
FastQC	all_sections	DRR106349_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106349_2_fastqc.zip
FastQC	all_sections	DRR106350_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106350_1_fastqc.zip
FastQC	all_sections	DRR106350_2	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106350_2_fastqc.zip
FastQC	all_sections	DRR106351_1	/Volumes/Seagate Backup Plus Drive/Astra/S venezuelensis RNAseq/DRR106351_1_fastqc.zip
