source	sample	group	batch	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center Name	Consent	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Experiment	Instrument	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sample_name	sex	SRA Study	strain	host	bioproject_id	Description	sample_title	biotic_relationship	replicate
SAMD00024932	DRR029433	L1	iL3_extended	RNA-Seq	202	9740523628	PRJDB3457	SAMD00024932	6015442140	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1st stage larvae	DRX026493	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019559	SvL1	mix	DRP002634	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis 1st stage larvae	S.venezuelensis_L1		
SAMD00024932	DRR029434	L1	iL3_extended	RNA-Seq	202	6404337482	PRJDB3457	SAMD00024932	3791411031	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	1st stage larvae	DRX026494	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019559	SvL1	mix	DRP002634	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis 1st stage larvae	S.venezuelensis_L1		
SAMD00024935	DRR029435	iL3	iL3_extended	RNA-Seq	202	9992095438	PRJDB3457	SAMD00024935	6175532991	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	3st stage infective larvae	DRX026495	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019557	SviL3	female	DRP002632	HH1		PRJDB3457	Strongyloides venezuelensis 3rd stage infective larvae	S.venezuelensis_iL3		
SAMD00024935	DRR029436	iL3	iL3_extended	RNA-Seq	202	4702786846	PRJDB3457	SAMD00024935	2744178187	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	3st stage infective larvae	DRX026496	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019557	SviL3	female	DRP002632	HH1		PRJDB3457	Strongyloides venezuelensis 3rd stage infective larvae	S.venezuelensis_iL3		
SAMD00024933	DRR029437	L3_lung	iL3_extended	RNA-Seq	202	9144401832	PRJDB3457	SAMD00024933	5641673572	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	3st stage larvae in lung	DRX026497	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019599	SvL3lung	female	DRP002639	HH1	Mus musculus	PRJDB3457	Strongyloides venezuelensis 3rd stage larvae in lung	S.venezuelensis_L3lung		
SAMD00024933	DRR029438	L3_lung	iL3_extended	RNA-Seq	202	3711262978	PRJDB3457	SAMD00024933	2150951649	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	3st stage larvae in lung	DRX026498	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019599	SvL3lung	female	DRP002639	HH1	Mus musculus	PRJDB3457	Strongyloides venezuelensis 3rd stage larvae in lung	S.venezuelensis_L3lung		
SAMD00024934	DRR029439	Young_FLF	iL3_extended	RNA-Seq	202	8747297102	PRJDB3457	SAMD00024934	5370153220	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	young adult female	DRX026499	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019561	SvYAF	female	DRP002636	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis young adult females	S.venezuelensis_YoungAdult		
SAMD00024934	DRR029440	Young_FLF	iL3_extended	RNA-Seq	202	4784200724	PRJDB3457	SAMD00024934	2768158304	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	young adult female	DRX026500	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019561	SvYAF	female	DRP002636	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis young adult females	S.venezuelensis_YoungAdult		
SAMD00024930	DRR029441	FLF	iL3_extended	RNA-Seq	202	10883623246	PRJDB3457	SAMD00024930	6754221540	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult female	DRX026501	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019530	SvAF	female	DRP002629	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis adult females	S.venezuelensis_Adult		
SAMD00024930	DRR029442	FLF	iL3_extended	RNA-Seq	202	4484826624	PRJDB3457	SAMD00024930	2623093390	MIYAZAKI	public	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult female	DRX026502	Illumina HiSeq 2000		PAIRED	RANDOM	TRANSCRIPTOMIC	Strongyloides venezuelensis	ILLUMINA	2015-05-01T00:00:00Z	DRS019530	SvAF	female	DRP002629	HH1	Rattus norvegicus	PRJDB3457	Strongyloides venezuelensis adult females	S.venezuelensis_Adult		
