target_id	length	eff_length	est_counts	tpm
SVE_0000039150.1	195	50.693	0	0
SVE_0000052350.1	138	19.8841	0	0
SVE_0000062250.1	117	14.1861	0	0
SVE_0000063250.1	237	82.0555	0	0
SVE_0000065950.1	450	282.024	10	0.675959
SVE_0000096450.1	1542	1373.39	6.02084	0.0835734
SVE_0000100.1	390	222.765	518.611	44.3814
SVE_0000115450.1	141	20.942	0	0
SVE_0000120250.1	519	350.708	4	0.21743
SVE_0000131050.1	165	32.1872	16	9.4764
SVE_0000176450.1	210	61.2606	0	0
SVE_0000182450.1	117	14.1861	1377	1850.45
SVE_0000195350.1	708	539.505	1	0.0353355
SVE_0000199550.1	582	413.557	285	13.1376
SVE_0000200.1	1455	1286.39	4918.55	72.8903
SVE_0000204650.1	174	37.3569	972	496.022
SVE_0000205350.1	1902	1733.39	551.586	6.06628
SVE_0000212950.1	378	211.025	10	0.903382
SVE_0000282050.1	141	20.942	0	0
SVE_0000300.1	318	153.152	1.99624	0.248483
SVE_0000332450.1	120	14.5508	0	0
SVE_0000382550.1	198	52.8088	0	0
SVE_0000383350.1	2463	2294.39	1425.94	11.8478
SVE_0000390450.1	327	161.704	5	0.589459
SVE_0000399650.1	102	13.3195	0	0
SVE_0000400.1	2220	2051.39	1	0.00929303
SVE_0000434133.1	225	72.4331	0	0
SVE_0000434166.1	249	91.908	0	0
SVE_0000434250.1	243	87.0235	3	0.657189
SVE_0000441550.1	177	39.1298	556	270.877
SVE_0000456700.1	2871	2702.39	14.9854	0.105712
SVE_0000462850.1	210	61.2606	1468	456.826
SVE_0000477750.1	1275	1106.39	64	1.10275
SVE_0000491450.1	105	13.1309	0	0
SVE_0000500.1	1701	1532.39	0	0
SVE_0000502650.1	150	24.8859	0	0
SVE_0000503850.1	240	84.5942	0	0
SVE_0000524150.1	960	791.432	11.6021	0.279466
SVE_0000525950.1	195	50.693	0	0
SVE_0000526450.1	168	33.864	10143	5709.98
SVE_0000533850.1	237	82.0555	0.00977873	0.00227186
SVE_0000542450.1	198	52.8088	13207	4767.64
SVE_0000546850.1	4899	4730.39	259.11	1.04422
SVE_0000569350.1	1704	1535.39	72.9166	0.905343
SVE_0000569650.1	144	22.2738	0	0
SVE_0000572950.1	303	139.251	0	0
SVE_0000576650.1	144	22.2738	0	0
SVE_0000584150.1	387	219.82	36491.6	3164.7
SVE_0000600.1	3477	3308.39	1	0.00576221
SVE_0000625150.1	150	24.8859	346	265.05
SVE_0000657250.1	111	13.147	0	0
SVE_0000660650.1	96	13.5591	0	0
SVE_0000661550.1	276	114.993	0	0
SVE_0000662550.1	180	40.9808	0	0
SVE_0000663350.1	1521	1352.39	11.0011	0.155074
SVE_0000666150.1	240	84.5942	2	0.450708
SVE_0000699050.1	147	23.5674	1	0.808899
SVE_0000700.1	1155	986.392	292	5.64338
SVE_0000710550.1	204	57.0036	0	0
SVE_0000720350.1	198	52.8088	88	31.7674
SVE_0000772150.1	2832	2663.39	1501.5	10.7472
SVE_0000775650.1	177	39.1298	0	0
SVE_0000800.1	990	821.392	490	11.3724
SVE_0000845350.1	1458	1289.39	53.1888	0.786395
SVE_0000859950.1	258	99.4536	2	0.383367
SVE_0000860150.1	183	42.8284	0	0
SVE_0000870250.1	507	338.759	7	0.393924
SVE_0000881350.1	156	27.6797	1	0.688724
SVE_0000894350.1	228	74.7373	0	0
SVE_0000900.1	957	788.432	1213	29.3294
SVE_0000936150.1	417	249.38	53.7391	4.10804
SVE_0000939350.1	99	13.2098	0	0
SVE_0000940450.1	138	19.8841	0	0
SVE_0000944350.1	120	14.5508	0	0
SVE_0000945750.1	261	101.939	1	0.18701
SVE_0000962850.1	114	13.5554	0	0
SVE_0000992650.1	102	13.3195	0	0
SVE_0000995250.1	192	48.6587	11360	4450.65
SVE_0001000.1	1029	860.392	738	16.3518
SVE_0001000000.1	345	178.929	0	0
SVE_0001000100.1	165	32.1872	0	0
SVE_0001000200.1	198	52.8088	8	2.88795
SVE_0001000300.1	228	74.7373	0	0
SVE_0001000400.1	279	117.708	0	0
SVE_0001000500.1	216	65.6874	4	1.16087
SVE_0001013900.1	195	50.693	0	0
SVE_0001071900.1	837	668.505	0	0
SVE_0001100.1	1038	869.392	533	11.6874
SVE_0001133000.1	114	13.5554	154	216.577
SVE_0001133600.1	666	497.557	11001	421.498
SVE_0001200.1	1542	1373.39	53	0.735677
SVE_0001300.1	747	578.505	2863	94.3453
SVE_0001400.1	339	173.124	9	0.991042
SVE_0001500.1	726	557.505	745	25.475
SVE_0001600.1	1536	1367.39	48	0.669197
SVE_0001700.1	414	246.429	207	16.0134
SVE_0001800.1	2616	2447.39	9	0.0701043
SVE_0001900.1	420	252.355	468	35.3541
SVE_0002000.1	3534	3365.39	10995	62.2824
SVE_0002100.1	939	770.432	0	0
SVE_0002200.1	2994	2825.39	23	0.155187
SVE_0002300.1	1578	1409.39	7	0.094683
SVE_0002400.1	1041	872.392	12	0.262226
SVE_0002500.1	660	491.557	3513	136.242
SVE_0002600.1	1866	1697.39	88	0.98834
SVE_0002700.1	2217	2048.39	8044	74.8626
SVE_0002800.1	516	347.708	383	20.9986
SVE_0002900.1	624	455.557	737	30.8412
SVE_0003000.1	624	455.557	44	1.84126
SVE_0003100.1	708	539.505	346	12.2261
SVE_0003200.1	591	422.557	106	4.78219
SVE_0003300.1	819	650.505	4152	121.678
SVE_0003400.1	1572	1403.39	18	0.244512
SVE_0003500.1	1353	1184.39	3	0.0482872
SVE_0003600.1	2463	2294.39	17	0.14125
SVE_0003700.1	1494	1325.39	0	0
SVE_0003800.1	1449	1280.39	588.873	8.76768
SVE_0003900.1	654	485.557	8.18605	0.321396
SVE_0004000.1	261	101.939	1	0.18701
SVE_0004100.1	393	225.686	3	0.253409
SVE_0004200.1	345	178.929	3	0.319629
SVE_0004300.1	2130	1961.39	10.7358	0.104346
SVE_0004400.1	1653	1484.39	1	0.0128427
