target_id	length	eff_length	est_counts	tpm
SSTP_0000000100.1	285	122.138	2	1.01813
SSTP_0000000200.2	653	480.223	0	0
SSTP_0000000300.1	1536	1363.11	3.04428	0.13886
SSTP_0000000400.1	480	307.889	161.5	32.6139
SSTP_0000000500.1	4635	4462.11	707	9.85152
SSTP_0000000600.1	687	514.199	10624.9	1284.75
SSTP_0000000700.1	300	135.59	0	0
SSTP_0000000800.1	1086	913.115	29	1.97468
SSTP_0000000900.1	372	202.208	0	0
SSTP_0000001000.1	780	607.115	0	0
SSTP_0000001050.1	291	127.476	1	0.48775
SSTP_0000001100.1	480	307.889	1	0.201944
SSTP_0000001200.1	1257	1084.11	0	0
SSTP_0000001300.1	528	355.544	12	2.09852
SSTP_0000001400.1	249	91.5777	2	1.35789
SSTP_0000001425.1	297	132.898	0	0
SSTP_0000001450.1	246	89.2569	0	0
SSTP_0000001475.1	435	263.362	247	58.3135
SSTP_0000001500.1	315	149.071	0	0
SSTP_0000001600.1	1194	1021.11	11	0.669796
SSTP_0000001700.1	516	343.596	4	0.723829
SSTP_0000001750.1	270	109.28	4	2.27585
SSTP_0000001800.1	1464	1291.11	268	12.9061
SSTP_0000001900.1	1818	1645.11	9	0.34015
SSTP_0000002000.1	1212	1039.11	4	0.239343
SSTP_0000002100.1	1539	1366.11	4	0.182053
SSTP_0000002200.1	2877	2704.11	625	14.3708
SSTP_0000002300.1	861	688.115	4730	427.39
SSTP_0000002400.1	1533	1360.11	63	2.87998
SSTP_0000002500.1	918	745.115	6	0.500671
SSTP_0000002600.1	783	610.115	3	0.305727
SSTP_0000002700.1	993	820.115	1	0.0758141
SSTP_0000002800.1	660	487.199	6	0.765719
SSTP_0000002900.1	585	412.333	306	46.1421
SSTP_0000002950.1	450	278.078	1	0.223593
SSTP_0000003000.1	1263	1090.11	204	11.6354
SSTP_0000003100.1	1281	1108.11	8	0.44888
SSTP_0000003200.1	4065	3892.11	2379	38.0044
SSTP_0000003300.1	1254	1081.11	479	27.5479
SSTP_0000003400.1	1422	1249.11	66	3.28523
SSTP_0000003500.1	831	658.115	328	30.9882
SSTP_0000003600.1	861	688.115	123	11.114
SSTP_0000003700.1	2061	1888.11	325	10.7024
SSTP_0000003800.1	1092	919.115	45	3.04416
SSTP_0000003900.1	5655	5482.11	886	10.0487
SSTP_0000004000.1	1152	979.115	1995	126.688
SSTP_0000004100.1	222	70.5706	10	8.81051
SSTP_0000004200.1	393	222.45	22	6.14916
SSTP_0000004300.1	681	508.199	45	5.50558
SSTP_0000004400.1	873	700.115	18	1.59856
SSTP_0000004500.1	609	436.292	4	0.570043
SSTP_0000004600.1	1698	1525.11	0	0
SSTP_0000004650.1	279	116.979	0	0
SSTP_0000004700.1	3486	3313.11	0	0
SSTP_0000004800.1	1023	850.115	0	0
SSTP_0000004900.1	999	826.115	5	0.376317
SSTP_0000005000.1	3180	3007.11	3	0.0620291
SSTP_0000005050.1	396	225.337	2	0.551851
SSTP_0000005100.1	1782	1609.11	32	1.23648
SSTP_0000005200.1	294	130.145	1	0.477745
SSTP_0000005225.1	393	222.45	1	0.279507
SSTP_0000005250.1	255	96.5409	0	0
SSTP_0000005275.1	288	124.787	0	0
SSTP_0000005300.1	243	86.923	0	0
SSTP_0000005400.1	525	352.562	0	0
SSTP_0000005500.1	906	733.115	20	1.69622
SSTP_0000005600.1	1515	1342.11	13	0.602252
SSTP_0000005700.1	750	577.145	6	0.646385
SSTP_0000005800.1	1335	1162.11	1	0.0535027
SSTP_0000005900.1	711	538.173	1	0.115532
SSTP_0000006000.1	300	135.59	0	0
SSTP_0000006050.1	222	70.5706	3	2.64315
SSTP_0000006100.1	300	135.59	0	0
SSTP_0000006200.1	510	337.681	5	0.920636
SSTP_0000006300.1	609	436.292	2	0.285021
SSTP_0000006400.1	906	733.115	3	0.254433
SSTP_0000006425.1	231	77.3769	0	0
SSTP_0000006500.1	957	784.115	4	0.317179
SSTP_0000006600.1	60	22.9123	3	8.141
SSTP_0000006700.1	41	14.3226	1	4.34114
SSTP_0000006800.1	342	173.88	9	3.21824
SSTP_0000006900.1	675	502.199	130.181	16.1175
SSTP_0000007000.1	2602	2429.11	1075.19	27.5207
SSTP_0000007100.1	198	53.3858	111	129.277
SSTP_0000007200.1	5263	5090.11	0	0
SSTP_0000007300.1	201	55.3731	10	11.2286
SSTP_0000007400.1	1146	973.115	3534	225.802
SSTP_0000007500.1	408	236.964	157	41.1947
SSTP_0000007600.1	1290	1117.11	712	39.6284
SSTP_0000007700.1	546	373.452	3218	535.767
SSTP_0000007800.1	567	394.394	390	61.4835
SSTP_0000007900.1	492	319.764	348	67.6666
SSTP_0000008000.1	3756	3583.11	1787	31.009
SSTP_0000008100.1	1701	1528.11	61	2.48198
SSTP_0000008200.1	1428	1255.11	1705	84.4628
SSTP_0000008300.1	282	119.565	2	1.04004
SSTP_0000008400.1	2142	1969.11	1399	44.1745
SSTP_0000008500.1	696	523.199	3262	387.652
SSTP_0000008600.1	780	607.115	421	43.1157
SSTP_0000008700.1	810	637.115	400	39.0361
SSTP_0000008800.1	2457	2284.11	303	8.24801
SSTP_0000008900.2	3666	3493.11	1133	20.167
SSTP_0000009000.1	4140	3967.11	2807	43.9939
SSTP_0000009100.1	3690	3517.11	3824	67.6014
SSTP_0000009200.1	2886	2713.11	2490	57.0632
SSTP_0000009300.1	1272	1099.11	47	2.65876
SSTP_0000009400.1	678	505.199	233	28.676
SSTP_0000009500.1	1833	1660.11	430	16.1048
SSTP_0000009600.1	2445	2272.11	1767	48.3538
SSTP_0000009700.1	2058	1885.11	1793	59.1381
SSTP_0000009800.1	672	499.199	356	44.3405
SSTP_0000009900.2	3045	2872.11	1693	36.6505
SSTP_0000010000.1	1428	1255.11	1789	88.624
SSTP_0000010100.1	1287	1114.11	1378	76.9031
SSTP_0000010200.1	1254	1081.11	1922	110.537
SSTP_0000010300.1	2454	2281.11	196	5.34236
SSTP_0000010400.1	1170	997.115	585	36.4784
SSTP_0000010500.1	1707	1534.11	803	32.5448
SSTP_0000010600.1	4701	4528.11	2204	30.2635
SSTP_0000010700.1	810	637.115	468	45.6723
SSTP_0000010800.1	981	808.115	397	30.5451
SSTP_0000010900.1	1653	1480.11	16	0.672124
SSTP_0000011000.1	3972	3799.11	459	7.51199
SSTP_0000011100.1	2715	2542.11	3458	84.5774
SSTP_0000011200.1	4266	4093.11	6810.35	103.452
SSTP_0000011300.2	1209	1036.11	5	0.300045
SSTP_0000011400.1	1704	1531.11	6	0.243651
SSTP_0000011500.1	1125	952.115	13	0.848943
SSTP_0000011600.1	1509	1336.11	901	41.9281
SSTP_0000011700.1	1335	1162.11	14	0.749038
SSTP_0000011800.3	1947	1774.11	869	30.4553
SSTP_0000011900.1	1470	1297.11	35	1.6777
SSTP_0000012000.1	276	114.46	5	2.71608
SSTP_0000012100.1	954	781.115	0	0
SSTP_0000012200.1	657	484.223	0	0
SSTP_0000012300.1	630	457.247	0	0
SSTP_0000012400.1	2034	1861.11	1	0.0334081
SSTP_0000012500.1	1518	1345.11	0	0
SSTP_0000012600.1	1299	1126.11	3	0.165639
SSTP_0000012700.1	2133	1960.11	4037	128.057
SSTP_0000012800.1	1809	1636.11	716	27.2097
SSTP_0000012900.1	852	679.115	14	1.28177
SSTP_0000013000.1	5814	5641.11	3760	41.4426
SSTP_0000013100.1	2250	2077.11	1349	40.3809
SSTP_0000013200.1	2292	2119.11	1485	43.5709
SSTP_0000013300.1	2688	2515.11	1350	33.3734
SSTP_0000013400.1	2172	1999.11	2125	66.0915
SSTP_0000013500.1	4689	4516.11	143	1.96877
SSTP_0000013600.1	1974	1801.11	493	17.0188
SSTP_0000013700.1	339	171.109	469	170.422
SSTP_0000013800.1	3567	3394.11	3680	67.4133
SSTP_0000013900.1	759	586.145	147	15.5933
SSTP_0000014000.1	2292	2119.11	1199	35.1795
SSTP_0000014100.1	1146	973.115	2742	175.198
SSTP_0000014200.1	1461	1288.11	7	0.337884
SSTP_0000014300.1	2505	2332.11	305	8.13157
SSTP_0000014400.1	1827	1654.11	2449	92.0551
SSTP_0000014500.1	645	472.247	712	93.7422
SSTP_0000014600.1	792	619.115	429	43.0835
SSTP_0000014700.1	453	281.036	21	4.64603
SSTP_0000014800.1	2400	2227.11	2214	61.8101
SSTP_0000014900.1	1356	1183.11	1642	86.2921
SSTP_0000015000.1	1398	1225.11	19	0.964276
SSTP_0000015050.1	225	72.7868	4	3.4169
SSTP_0000015100.1	231	77.3769	21	16.8746
SSTP_0000015200.1	1047	874.115	3	0.213392
SSTP_0000015300.1	222	70.5706	39	34.361
SSTP_0000015400.1	666	493.199	343	43.2411
SSTP_0000015500.1	333	165.47	173	65.0057
