target_id	length	eff_length	est_counts	tpm
SPAL_0000000100.1	650	481.087	1	0.0220062
SPAL_0000000200.1	301	135.704	2	0.156029
SPAL_0000000300.1	819	650.049	3	0.048859
SPAL_0000000400.1	5437	5268.05	161.373	0.324302
SPAL_0000000500.1	804	635.049	0	0
SPAL_0000000600.1	1140	971.049	0	0
SPAL_0000000650.1	255	94.5128	0	0
SPAL_0000000700.1	1437	1268.05	136.284	1.13783
SPAL_0000000800.1	522	353.125	6	0.179884
SPAL_0000000900.1	564	395.087	0	0
SPAL_0000001000.1	383	214.954	0	0
SPAL_0000001100.1	825	656.049	1	0.0161374
SPAL_0000001200.1	234	76.9585	1	0.137567
SPAL_0000001300.1	651	482.087	0	0
SPAL_0000001375.1	855	686.049	19	0.293202
SPAL_0000001400.1	321	154.606	2	0.136953
SPAL_0000001500.1	861	692.049	1	0.0152979
SPAL_0000001600.1	396	227.828	2	0.0929377
SPAL_0000001700.1	1140	971.049	12	0.130831
SPAL_0000001800.1	1377	1208.05	27.7733	0.243395
SPAL_0000001900.1	950	781.049	0.864934	0.0117239
SPAL_0000002000.1	789	620.049	0	0
SPAL_0000002100.1	975	806.049	7	0.0919403
SPAL_0000002200.1	222	67.4644	0	0
SPAL_0000002300.1	468	299.307	1	0.0353714
SPAL_0000002400.1	1371	1202.05	4	0.0352295
SPAL_0000002500.1	1386	1217.05	48	0.417544
SPAL_0000002533.1	360	192.337	3	0.165131
SPAL_0000002566.1	222	67.4644	5	0.784629
SPAL_0000002600.1	963	794.049	174	2.31991
SPAL_0000002700.1	4359	4190.05	682.185	1.72366
SPAL_0000002800.2	1125	956.049	999.612	11.0693
SPAL_0000002900.1	1155	986.049	56	0.601255
SPAL_0000003000.1	945	776.049	277	3.77885
SPAL_0000003100.1	12486	12317	6305	5.41936
SPAL_0000003200.1	1923	1754.05	1960	11.83
SPAL_0000003300.1	546	377.113	86	2.41433
SPAL_0000003400.2	888	719.049	201	2.95942
SPAL_0000003500.1	3717	3548.05	2446	7.29854
SPAL_0000003600.1	1455	1286.05	3161	26.0217
SPAL_0000003700.1	1032	863.049	13395	164.315
SPAL_0000003800.1	1128	959.049	2854	31.5052
SPAL_0000003900.1	1335	1166.05	524	4.75755
SPAL_0000004000.1	1014	845.049	48	0.601352
SPAL_0000004100.1	1164	995.049	261	2.77693
SPAL_0000004200.1	5487	5318.05	2130	4.2403
SPAL_0000004300.1	483	314.235	559	18.8333
SPAL_0000004400.1	675	506.087	81	1.69445
SPAL_0000004450.1	546	377.113	65	1.82478
SPAL_0000004500.1	231	74.5259	0	0
SPAL_0000004600.1	987	818.049	5	0.0647083
SPAL_0000004700.1	1569	1400.05	2	0.0151236
SPAL_0000004800.1	204	54.0834	0	0
SPAL_0000004900.1	208	56.9625	9	1.67272
SPAL_0000005000.1	705	536.087	5	0.0987424
SPAL_0000005100.1	1134	965.049	0	0
SPAL_0000005200.1	975	806.049	1863	24.4692
SPAL_0000005300.1	921	752.049	635	8.93916
SPAL_0000005400.1	3258	3089.05	11569	39.6497
SPAL_0000005500.1	2655	2486.05	922	3.92636
SPAL_0000005600.1	1137	968.049	2068	22.6163
SPAL_0000005700.2	2907	2738.05	1440	5.56789
SPAL_0000005800.1	426	257.575	128	5.26108
SPAL_0000005900.1	2859	2690.05	2358	9.2801
SPAL_0000006000.1	825	656.049	2571	41.4892
SPAL_0000006100.1	1212	1043.05	4054	41.1479
SPAL_0000006200.1	972	803.049	21	0.276851
SPAL_0000006300.1	573	404.087	5	0.130998
SPAL_0000006400.1	525	356.113	55	1.6351
SPAL_0000006500.1	963	794.049	1262	16.826
SPAL_0000006600.2	948	779.049	1780	24.1894
SPAL_0000006700.1	696	527.087	19	0.381628
SPAL_0000006800.1	1488	1319.05	1320	10.5945
SPAL_0000006900.1	2016	1847.05	150	0.85977
SPAL_0000007000.1	1269	1100.05	81	0.779547
SPAL_0000007100.1	1251	1082.05	2	0.0195683
SPAL_0000007200.1	657	488.087	0	0
SPAL_0000007300.1	657	488.087	2	0.0433812
SPAL_0000007400.1	1356	1187.05	47	0.419178
SPAL_0000007500.1	1371	1202.05	6	0.0528443
SPAL_0000007600.1	216	62.8735	114	19.1958
SPAL_0000007700.1	300	134.736	3	0.235725
SPAL_0000007800.1	495	326.192	0.5	0.016228
SPAL_0000007900.1	702	533.087	0	0
SPAL_0000008000.1	604	435.087	0	0
SPAL_0000008100.1	1527	1358.05	2687.6	20.9517
SPAL_0000008200.1	381	212.968	0	0
SPAL_0000008300.1	1468	1299.05	510.286	4.1587
SPAL_0000008400.1	1148	979.049	0	0
SPAL_0000008500.1	2244	2075.05	1	0.005102
SPAL_0000008600.1	296	131.065	11.68	0.943466
SPAL_0000008700.1	358	190.388	7.6105	0.423197
SPAL_0000008800.1	2111	1942.05	62	0.337988
SPAL_0000008900.1	1155	986.049	86	0.923356
SPAL_0000009000.1	1437	1268.05	239	1.9954
SPAL_0000009100.1	219	65.1387	31	5.03839
SPAL_0000009200.1	1314	1145.05	1385	12.8055
SPAL_0000009300.2	525	356.113	108	3.21074
SPAL_0000009400.1	1239	1070.05	462	4.57096
SPAL_0000009500.1	807	638.049	799	13.2575
SPAL_0000009600.1	877	708.049	57.8584	0.865112
SPAL_0000009700.1	1098	929.049	6	0.0683725
SPAL_0000009800.1	4467	4298.05	10	0.0246319
SPAL_0000009900.1	408	239.657	0	0
SPAL_0000010000.1	1200	1031.05	0	0
SPAL_0000010100.1	411	242.633	0	0
SPAL_0000010200.1	990	821.049	2	0.0257887
SPAL_0000010300.1	381	212.968	56	2.78383
SPAL_0000010400.1	1125	956.049	664.388	7.35717
SPAL_0000010500.1	1032	863.049	4532.37	55.598
SPAL_0000010600.1	2232	2063.05	978	5.01878
SPAL_0000010700.1	5445	5276.05	305.993	0.614006
SPAL_0000010800.1	1140	971.049	2	0.0218051
SPAL_0000010900.1	1140	971.049	1	0.0109025
SPAL_0000011000.1	969	800.049	0	0
SPAL_0000011100.1	1149	980.049	1	0.0108024
SPAL_0000011200.1	120	13.726	0	0
SPAL_0000011300.1	519	350.136	0.878167	0.0265527
SPAL_0000011400.1	386	217.932	465.612	22.6189
SPAL_0000011500.1	603	434.087	1648.6	40.2076
SPAL_0000011600.1	711	542.069	1933	37.7526
SPAL_0000011700.1	2508	2339.05	1812	8.2014
SPAL_0000011800.1	1330	1161.05	448.403	4.08871
SPAL_0000011900.1	984	815.049	5.69118	0.0739244
SPAL_0000012000.1	188	43.1259	0	0
SPAL_0000012100.1	1218	1049.05	1	0.0100919
SPAL_0000012200.1	384	215.946	0	0
SPAL_0000012300.1	210	58.4774	0	0
SPAL_0000012400.1	1186	1017.05	2642.81	27.5102
SPAL_0000012500.1	2782	2613.05	2	0.00810311
SPAL_0000012600.1	2082	1913.05	5	0.0276703
SPAL_0000012700.1	62	25.5784	19.3846	8.02329
