target_id	length	eff_length	est_counts	tpm
SRAE_0000000100.1	1707	1335.05	19	0.260167
SRAE_0000000200.1	705	333.18	0	0
SRAE_0000000250.1	1026	654.047	0	0
SRAE_0000000300.1	465	95.5787	1	0.191264
SRAE_0000000400.1	480	109.105	1	0.167552
SRAE_0000000500.1	264	58.025	0	0
SRAE_0000000600.1	492	120.636	0	0
SRAE_0000000700.1	1035	663.047	2	0.0551417
SRAE_0000000800.1	459	90.4619	62	12.5291
SRAE_0000000900.1	360	53.9433	121	41.0056
SRAE_0000001000.1	1035	663.047	20	0.551417
SRAE_0000001100.1	1238	866.047	0	0
SRAE_0000001200.1	1167	795.047	7	0.160953
SRAE_0000001300.1	1188	816.047	3	0.0672049
SRAE_0000001400.1	1095	723.047	5	0.126415
SRAE_0000001500.1	2169	1797.05	2529	25.7267
SRAE_0000001600.1	426	68.042	628	168.724
SRAE_0000001700.1	1347	975.047	7737	145.058
SRAE_0000001800.1	1035	663.047	722	19.9062
SRAE_0000001900.1	618	246.208	39	2.89572
SRAE_0000002000.1	1682	1310.05	15575	217.338
SRAE_0000002100.1	720	348.163	25	1.31266
SRAE_0000002200.1	2688	2316.05	1578	12.4553
SRAE_0000002300.1	447	81.1505	639	143.948
SRAE_0000002500.1	1749	1377.05	77	1.0222
SRAE_0000002600.1	2040	1668.05	67	0.734279
SRAE_0000002700.1	984	612.047	0	0
SRAE_0000002800.1	396	57.334	82	26.1455
SRAE_0000002900.1	997	625.047	58	1.69633
SRAE_0000003000.1	1104	732.047	1	0.0249721
SRAE_0000003100.1	855	483.101	23	0.87033
SRAE_0000003200.1	1128	756.047	151	3.65109
SRAE_0000003300.1	687	315.195	1214	70.4099
SRAE_0000003400.1	645	273.195	226	15.1227
SRAE_0000003500.1	775	403.144	2900	131.502
SRAE_0000003600.1	375	54.4742	44	14.7658
SRAE_0000003700.1	705	333.18	7	0.384074
SRAE_0000003800.1	1230	858.047	100	2.13051
SRAE_0000003900.1	1350	978.047	1901	35.5318
SRAE_0000004000.1	660	288.195	3291	208.754
SRAE_0000004100.1	1008	636.047	2560	73.5776
SRAE_0000004200.1	759	387.144	88	4.15532
SRAE_0000004300.1	306	54.8976	4	1.33199
SRAE_0000004400.1	1686	1314.05	1252	17.4176
SRAE_0000004500.1	1689	1317.05	1590	22.0694
SRAE_0000004600.1	216	53.5211	8	2.7325
SRAE_0000004700.1	1440	1068.05	1349	23.0896
SRAE_0000004800.1	1824	1452.05	2721	34.2565
SRAE_0000004900.1	721	349.163	30505	1597.12
SRAE_0000005000.1	3756	3384.05	6591	35.6049
SRAE_0000005100.1	870	498.101	98	3.59669
SRAE_0000005200.1	1772	1400.05	557	7.27289
SRAE_0000005300.1	1596	1224.05	1255	18.7431
SRAE_0000005400.1	684	312.195	1319	77.2348
SRAE_0000005500.1	1755	1383.05	311	4.11072
SRAE_0000005600.1	936	564.075	682	22.1025
SRAE_0000005700.1	939	567.075	253	8.15595
SRAE_0000005800.1	672	300.195	701	42.6883
SRAE_0000005900.1	1584	1212.05	2150	32.4275
SRAE_0000006000.1	1112	740.047	1090	26.9254
SRAE_0000006100.1	1305	933.047	3758	73.6288
SRAE_0000006200.1	770	398.144	3008	138.112
SRAE_0000006300.1	1193	821.047	4490	99.9708
SRAE_0000006400.1	1086	714.047	1561	39.9642
SRAE_0000006500.1	1338	966.047	779	14.7412
SRAE_0000006600.1	713	341.163	227	12.1635
SRAE_0000006700.1	1593	1221.05	1913	28.6403
SRAE_0000006800.1	1818	1446.05	4336	54.8153
SRAE_0000006900.1	1346	974.047	12887	241.861
SRAE_0000007000.1	696	324.18	722	40.7142
SRAE_0000007100.1	3384	3012.05	188	1.14101
SRAE_0000007200.1	414	62.7083	26	7.57954
SRAE_0000007300.1	2109	1737.05	667	7.01955
SRAE_0000007400.1	2892	2520.05	1482	10.7506
SRAE_0000007500.1	1587	1215.05	601	9.04224
SRAE_0000007600.1	1569	1197.05	465	7.10128
SRAE_0000007700.1	996	624.047	6	0.175763
SRAE_0000007800.1	975	603.047	60	1.81884
SRAE_0000007900.1	1152	780.047	11	0.25779
SRAE_0000008000.1	1146	774.047	9	0.212554
SRAE_0000008100.1	1263	891.047	14	0.287225
SRAE_0000008200.1	1167	795.047	34	0.781773
SRAE_0000008300.1	1632	1260.05	6.78858	0.0984888
SRAE_0000008400.1	309	54.6995	0	0
SRAE_0000008500.1	639	267.195	2.21142	0.151299
SRAE_0000008600.1	1812	1440.05	3	0.0380837
SRAE_0000008700.1	3075	2703.05	143	0.967113
SRAE_0000008800.1	945	573.047	1	0.031901
SRAE_0000008900.1	1188	816.047	2	0.0448033
SRAE_0000009000.1	1482	1110.05	79	1.30101
SRAE_0000009100.1	216	53.5211	81	27.6665
SRAE_0000009200.1	1074	702.047	0	0
SRAE_0000009300.1	693	321.18	0	0
SRAE_0000009400.1	1254	882.047	12177	252.373
SRAE_0000009500.1	687	315.195	3	0.173995
SRAE_0000009600.1	4530	4158.05	700.987	3.08188
SRAE_0000009700.1	645	273.195	541	36.2008
SRAE_0000009800.1	963	591.047	1931	59.7248
SRAE_0000009900.1	2826	2454.05	2715	20.2247
SRAE_0000010000.1	2034	1662.05	3326	36.5825
SRAE_0000010100.1	2103	1731.05	4213	44.4915
SRAE_0000010200.1	1878	1506.05	11613	140.962
SRAE_0000010300.1	696	324.18	634	35.7518
SRAE_0000010400.1	1915	1543.05	39723	470.606
SRAE_0000010500.1	5855	5483.05	5296	17.6572
SRAE_0000010600.1	243	58.0828	107	33.6768
SRAE_0000010700.1	780	408.144	18041	808.056
SRAE_0000010800.1	555	183.277	1525	152.11
SRAE_0000010900.1	543	171.294	870	92.8478
SRAE_0000011000.1	738	366.163	240	11.9821
SRAE_0000011100.1	1028	656.047	26732	744.888
SRAE_0000011200.1	1458	1086.05	685	11.5302
SRAE_0000011300.1	993	621.047	76	2.23709
SRAE_0000011400.1	1572	1200.05	1564	23.825
SRAE_0000011500.1	459	90.4619	6174	1247.66
SRAE_0000011600.1	1008	636.047	20	0.574825
SRAE_0000011700.1	744	372.144	1446	71.0316
SRAE_0000011800.1	2462	2090.05	1624	14.2045
SRAE_0000011900.1	2691	2319.05	2653	20.9133
SRAE_0000012000.1	1093	721.047	2326	58.9713
SRAE_0000012100.1	573	201.219	6265	569.176
SRAE_0000012200.1	273	58.1102	18	5.66258
SRAE_0000012300.1	429	69.6557	110	28.8689
SRAE_0000012400.1	954	582.047	5	0.157039
SRAE_0000012500.1	882	510.101	16	0.573401
SRAE_0000012600.1	996	624.047	7	0.205057
SRAE_0000012700.1	264	58.025	2	0.6301
SRAE_0000012800.1	1182	810.047	156	3.52054
SRAE_0000012900.1	1527	1155.05	62	0.981266
SRAE_0000013000.1	681	309.195	60	3.54742
SRAE_0000013100.1	858	486.101	2364	88.9028
SRAE_0000013200.1	498	126.488	1345	194.387
